id,user_id,date,category_id,account_id,amount,comment,change_balance_id,type,direction
"305","12","1690645016","39","217","90.00","Шпурма",,"EXPENSE","DECREASE"
"307","12","1690660299","29","217","900.00","Сентза",,"EXPENSE","DECREASE"
"308","12","1690747397","29","217","500.00","брукс",,"EXPENSE","DECREASE"
"309","12","1690661025","31","217","130.00","",,"EXPENSE","DECREASE"
"310","12","1690661052","31","217","190.00","",,"EXPENSE","DECREASE"
"311","12","1690747498","31","217","134.00","",,"EXPENSE","DECREASE"
"312","12","1690747525","29","217","1050.00","лайк парк",,"EXPENSE","DECREASE"
"313","12","1690809073","39","217","216.00","Confetti ",,"EXPENSE","DECREASE"
"314","12","1690809633","204","217","933.00","Корм песок ",,"EXPENSE","DECREASE"
"315","12","1690809633","204","217","933.00","Корм песок ",,"EXPENSE","DECREASE"
"316","12","1690810385","40","217","421.00","",,"EXPENSE","DECREASE"
"317","12","1690837845","35","217","380.00","",,"EXPENSE","DECREASE"
"318","12","1690924190","39","217","65.00","тирамису",,"EXPENSE","DECREASE"
"319","12","1690924214","39","217","240.00","рахат лукум ,орехи",,"EXPENSE","DECREASE"
"345","12","1691013752","40","217","300.00","",,"EXPENSE","DECREASE"
"348","12","1691230670","41","217","85.00","Поезд бакалея",,"EXPENSE","DECREASE"
"349","12","1691144429","346","217","145.00","На вокзал",,"EXPENSE","DECREASE"
"350","12","1691235215","41","217","275.00","Завтрак",,"EXPENSE","DECREASE"
"351","12","1691584258","16","217","432.00","",,"EXPENSE","DECREASE"
"352","12","1691589494","39","217","125.00","Столовпя",,"EXPENSE","DECREASE"
"353","12","1691593199","40","217","381.00","",,"EXPENSE","DECREASE"
"354","12","1691694321","38","217","400.00","Стрижка ",,"EXPENSE","DECREASE"
"362","12","1691779742","355","217","14000.00","",,"EXPENSE","DECREASE"
"363","12","1691787513","35","217","1143.00","",,"EXPENSE","DECREASE"
"364","12","1691863003","40","217","520.00","Флагман ",,"EXPENSE","DECREASE"
"365","12","1691863718","204","217","279.00","",,"EXPENSE","DECREASE"
"366","12","1691839058","40","217","381.00","atb",,"EXPENSE","DECREASE"
"367","12","1691925495","31","217","120.00","",,"EXPENSE","DECREASE"
"368","12","1691925519","29","217","310.00","виновник",,"EXPENSE","DECREASE"
"369","12","1691925544","29","217","335.00","",,"EXPENSE","DECREASE"
"370","12","1691925592","29","217","210.00","физзи",,"EXPENSE","DECREASE"
"371","12","1691925614","31","217","350.00","",,"EXPENSE","DECREASE"
"372","12","1691964014","29","217","400.00","сапы",,"EXPENSE","DECREASE"
"373","12","1691964060","29","217","170.00","сентоза",,"EXPENSE","DECREASE"
"374","12","1692018810","39","217","209.00","",,"EXPENSE","DECREASE"
"375","12","1692036944","62","217","850.00","газ вода электр ",,"EXPENSE","DECREASE"
"376","12","1692036996","62","217","550.00","Затышок",,"EXPENSE","DECREASE"
"377","12","1692037011","360","217","208.00","",,"EXPENSE","DECREASE"
"378","12","1692037036","17","217","1474.00","",,"EXPENSE","DECREASE"
"379","12","1692091559","40","217","222.00","вода",,"EXPENSE","DECREASE"
"380","12","1692106715","205","217","605.00","",,"EXPENSE","DECREASE"
"381","12","1692119168","38","217","330.00","Мойка",,"EXPENSE","DECREASE"
"382","12","1692191816","39","217","185.00","",,"EXPENSE","DECREASE"
"383","12","1692226731","29","217","850.00","Джанни вино",,"EXPENSE","DECREASE"
"384","12","1692249097","90","217","800.00","",,"EXPENSE","DECREASE"
"385","12","1692281592","39","217","196.00","",,"EXPENSE","DECREASE"
"386","12","1692283943","40","217","638.00","",,"EXPENSE","DECREASE"
"387","12","1692353142","19","217","340.00","штраф",,"EXPENSE","DECREASE"
"388","12","1692362375","41","217","711.00","жд",,"EXPENSE","DECREASE"
"389","12","1692362491","26","217","3000.00","",,"EXPENSE","DECREASE"
"390","12","1692377863","18","217","888.00","",,"EXPENSE","DECREASE"
"391","12","1692439016","35","217","1040.00","",,"EXPENSE","DECREASE"
"424","12","1692472094","29","217","225.00","Новоселицв",,"EXPENSE","DECREASE"
"426","12","1692386185","29","217","150.00","Физзи",,"EXPENSE","DECREASE"
"427","12","1692543196","29","217","840.00","физзи",,"EXPENSE","DECREASE"
"428","12","1692543522","31","217","240.00","",,"EXPENSE","DECREASE"
"429","12","1692558957","40","217","417.00","",,"EXPENSE","DECREASE"
"430","12","1692560502","40","217","287.00","Халял",,"EXPENSE","DECREASE"
"431","12","1692563195","40","217","328.00","Атб",,"EXPENSE","DECREASE"
"432","12","1692643166","31","217","90.00","",,"EXPENSE","DECREASE"
"433","12","1692655178","31","217","130.00","",,"EXPENSE","DECREASE"
"436","12","1692698575","434","217","1000.00","Таня д.р.",,"EXPENSE","DECREASE"
"437","12","1692698925","434","217","234.00","Сергей",,"EXPENSE","DECREASE"
"438","12","1692713738","39","217","210.00","",,"EXPENSE","DECREASE"
"439","12","1692795208","40","217","271.00","",,"EXPENSE","DECREASE"
"441","12","1692811897","205","217","900.00","Витапрост простамол",,"EXPENSE","DECREASE"
"442","12","1692817604","38","217","400.00","Стрижка ",,"EXPENSE","DECREASE"
"443","12","1692817666","39","217","145.00","Кофе",,"EXPENSE","DECREASE"
"444","12","1692884416","38","217","800.00"," Масаж ",,"EXPENSE","DECREASE"
"447","12","1692986834","445","217","3500.00","",,"EXPENSE","DECREASE"
"448","12","1693004130","29","217","405.00","Голый шеф",,"EXPENSE","DECREASE"
"449","12","1693075637","40","217","400.00","Метро",,"EXPENSE","DECREASE"
"450","12","1693075763","208","217","2279.00","Протеин",,"EXPENSE","DECREASE"
"451","12","1693075996","40","217","472.00","Атб",,"EXPENSE","DECREASE"
"452","12","1693148851","35","217","795.00","",,"EXPENSE","DECREASE"
"453","12","1693070974","31","217","135.00","",,"EXPENSE","DECREASE"
"454","12","1693071027","29","217","500.00","виски",,"EXPENSE","DECREASE"
"455","12","1693071066","31","217","160.00","",,"EXPENSE","DECREASE"
"456","12","1693157520","29","217","280.00","кино",,"EXPENSE","DECREASE"
"457","12","1693157541","38","217","1600.00","уход за лицом + крем",,"EXPENSE","DECREASE"
"460","12","1693157797","458","217","334.00","тапочки",,"EXPENSE","DECREASE"
"461","12","1693071454","458","217","1200.00","таблетки для посудомоечной, перволь",,"EXPENSE","DECREASE"
"462","12","1693158040","25","217","3000.00","",,"EXPENSE","DECREASE"
"463","12","1693229881","39","217","150.00","",,"EXPENSE","DECREASE"
"464","12","1693211247","40","217","475.00","",,"EXPENSE","DECREASE"
"465","12","1693344279","29","217","850.00","Кост",,"EXPENSE","DECREASE"
"466","12","1693403592","484","217","1200.00","Предоплата квартиры",,"EXPENSE","DECREASE"
"467","12","1693486896","40","217","374.00","",,"EXPENSE","DECREASE"
"468","12","1693930099","484","217","10500.00","Одесса",,"EXPENSE","DECREASE"
"469","12","1694536693","445","217","650.00","кепка",,"EXPENSE","DECREASE"
"470","12","1694018454","39","217","228.00","конфетти ",,"EXPENSE","DECREASE"
"471","12","1694018502","204","217","175.00","",,"EXPENSE","DECREASE"
"472","12","1694018570","35","217","1060.00","",,"EXPENSE","DECREASE"
"473","12","1694018608","40","217","502.00","",,"EXPENSE","DECREASE"
"474","12","1694105029","16","217","432.00","",,"EXPENSE","DECREASE"
"475","12","1694105087","90","217","830.00","",,"EXPENSE","DECREASE"
